"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
Lebanon,1084600,10206,988955,85439,160120.0,1507.0,4795578,707972.0,6773684,Asia,12613.0
Lesotho,32716,697,23461,8558,15070.0,321.0,407836,187856.0,2171005,Africa,3942.0
Liberia,7392,294,5747,1351,1406.0,56.0,139824,26589.0,5258808,Africa,257.0
Libya,500000,6344,483102,10554,71129.0,902.0,2453977,349098.0,7029470,Africa,1501.0
Liechtenstein,14234,79,13304,851,371519.0,2062.0,80413,2098844.0,38313,Europe,22212.0
Lithuania,961959,8636,875771,77552,361914.0,3249.0,7888703,2967938.0,2657974,Europe,29177.0
Luxembourg,191964,1004,180078,10882,298444.0,1561.0,4099088,6372802.0,643216,Europe,16918.0
Macao,82,,79,3,123.0,,5318,8005.0,664320,Asia,5.0
Madagascar,63870,1377,59156,3337,2210.0,48.0,404843,14011.0,28895306,Africa,115.0
Malawi,85499,2623,76752,6124,4282.0,131.0,553978,27746.0,19966197,Africa,307.0
Malaysia,3823571,33807,3468888,320876,115627.0,1022.0,52253912,1580194.0,33068039,Asia,9704.0
Maldives,174658,297,163687,10674,313762.0,534.0,2213831,3977011.0,556657,Asia,19175.0
Mali,30420,726,29573,121,1432.0,34.0,633842,29846.0,21237402,Africa,6.0
Malta,72858,614,70523,1721,164267.0,1384.0,1211456,2731371.0,443534,Europe,3880.0
Martinique,126221,900,104,125217,336794.0,2401.0,738299,1969995.0,374772,North America,334115.0
Mauritania,58658,981,57654,23,12078.0,202.0,761783,156861.0,4856406,Africa,5.0
Mauritius,34181,934,30378,2869,26801.0,732.0,358675,281238.0,1275342,Africa,2250.0
Mayotte,36745,187,2964,33594,129406.0,659.0,176919,623060.0,283952,Africa,118309.0
Mexico,5605636,321054,4894102,390480,42717.0,2447.0,15346122,116944.0,131226279,North America,2976.0
Moldova,507994,11346,490281,6367,126427.0,2824.0,3088878,768744.0,4018086,Europe,1585.0
Monaco,9778,52,9497,229,246217.0,1309.0,54960,1383930.0,39713,Europe,5766.0
Mongolia,466911,2177,313256,151478,138646.0,646.0,4030048,1196694.0,3367650,Asia,44980.0
Montenegro,231557,2693,228092,772,368603.0,4287.0,1188260,1891528.0,628201,Europe,1229.0
Montserrat,166,2,162,2,33220.0,400.0,8359,1672804.0,4997,North America,400.0
